WONUM,WORKTYPE,WORKORDERSTATUS,WORKORDERDESC,REPORTEDBY,CCLINE,LOCATION,ASSETNUM,AFFECTEDDATE,REPORTDATE,ACTUALSTART,ACTUALFINISH,OWNERGROUP,PERSONGROUP
WO2026-225580,CM,COMP,1D5-MSD201 Drive Motor pulley flange detached found during PM,TSM-332,L1,1D5DS0-P02-PLAT-201,SP118366,"Jun 15, 2026 1:59 AM","Jun 15, 2026 1:59 AM","Jun 15, 2026 2:02 AM","Jun 15, 2026 2:43 PM",MESMNS,PSDCOOR1
WO2026-227286,CM,CLOSE,MRIICF- 2C3- mezzanine level - F01-A168- door stopper damage,FM-80958,L2,2C3ES0-F01-COCP,DOOR-28,"Jun 17, 2026 4:49 PM","Jun 17, 2026 4:49 PM","Jun 17, 2026 4:50 PM","Jun 18, 2026 9:55 AM",MEFMSOFT,MEFMCSA
WO2026-227303,CM,CLOSE,MRIICF- 2C3-F01-N123-CSER 03-door closer arm disconnected,FM-80958,L2,2C3ES0-F01-COM03,DOOR-28,"Jun 17, 2026 5:52 PM","Jun 17, 2026 5:52 PM","Jun 17, 2026 5:53 PM","Jun 18, 2026 9:29 PM",MEFMSOFT,MEFMCSA
WO2026-227302,CM,CLOSE,MRIICF- 2C3-F01-N147-LOW VOLTAGE ROOM-lock plate screw missing,FM-80958,L2,2C3ES0-F01-LVR03,DOOR-28,"Jun 17, 2026 5:49 PM","Jun 17, 2026 5:49 PM","Jun 17, 2026 5:50 PM","Jun 18, 2026 9:26 PM",MEFMSOFT,MEFMCSA
WO2026-227301,CM,CLOSE,MRIICF- 2C3-F01-A129-2-STAFF ROOM FEMALE-Chair screw loose condition,FM-80958,L2,2C3ES0-F01-SFF,FURN-28,"Jun 17, 2026 5:45 PM","Jun 17, 2026 5:45 PM","Jun 17, 2026 5:47 PM","Jun 18, 2026 9:24 PM",MEFMSOFT,MEFMCSA
WO2026-227297,CM,CLOSE,MRIICF- 2C3STAFF ROOM MALE--Chair screw loose condition,FM-80958,L2,2C3ES0-F01-SFM,FURN-28,"Jun 17, 2026 5:35 PM","Jun 17, 2026 5:35 PM","Jun 17, 2026 5:36 PM","Jun 18, 2026 9:21 PM",MEFMSOFT,MEFMCSA
WO2026-227287,CM,CLOSE,MRIICF- 2C3-female toilet - washbasin cover damage,FM-80958,L2,2C3ES0-F01-WCF,INTWAL-28,"Jun 17, 2026 4:55 PM","Jun 17, 2026 4:55 PM","Jun 17, 2026 4:56 PM","Jun 18, 2026 10:02 AM",MEFMSOFT,MEFMCSA
WO2026-225591,CM,COMP,SCSS-2C3ES0-F01-COMT-ACCS-5 battery backup not working,TSM-168,L2,2C3ES0-F01-COMT,SC101810,"Jun 15, 2026 12:28 AM","Jun 15, 2026 12:28 AM","Jun 15, 2026 4:15 AM","Jun 15, 2026 8:54 PM",MESMNS,COMCOOR1
WO2026-225592,CM,COMP,SCSS-2C3ES0-F01-COMT-ACCS-6 battery backup not working,TSM-168,L2,2C3ES0-F01-COMT,SC101811,"Jun 15, 2026 12:29 AM","Jun 15, 2026 12:29 AM","Jun 15, 2026 4:16 AM","Jun 15, 2026 8:48 PM",MESMNS,COMCOOR1
WO2026-226541,CM,INPRG,2C3- DXU-35 is showing not working from BMS Workstation,OSAMA.ALOSAIMI,L2,2C3ES0-B01-GEN,CMAC000461,"Jun 16, 2026 5:22 PM","Jun 16, 2026 5:22 PM","Jun 16, 2026 5:26 PM",,MEFMHARD,ELECFMSC
WO2026-226541,CM,INPRG,2C3- DXU-35 is showing not working from BMS Workstation,OSAMA.ALOSAIMI,L2,2C3ES0-B01-GEN,CMAC000461,"Jun 16, 2026 5:22 PM","Jun 16, 2026 5:22 PM","Jun 16, 2026 5:26 PM",,MEFMHARD,ELECFMSC
WO2026-225702,CM,CLOSE,2C3-Ahu-01 Compressor 1 trip and HP alarm,FM-135119,L2,2C3ES0-F01-HVR01,CMAC000511,"Jun 15, 2026 2:52 PM","Jun 15, 2026 2:52 PM","Jun 15, 2026 2:54 PM","Jun 20, 2026 11:20 AM",MEFMHARD,HVACFMSC
WO2026-227917,CM,CLOSE,2A2-ENTRANCE 01-SLIDING DOOR 6-NOT CLOSING,0000220,L2,2A2ES0,CA00000043,"Jun 18, 2026 2:05 AM","Jun 18, 2026 2:05 AM","Jun 18, 2026 2:28 AM","Jun 21, 2026 1:54 PM",MEFMHARD,MECHFMSC
WO2026-226395,CM,CLOSE,2A2-Supervisor ACT-P02-N1L7-MM211-ARL02 P02--A156 BD alarm appears and disappears frequently,RAMAKRISHNA.KAPARTHY,L2,2A2ES0,CFDA000001,"Jun 16, 2026 1:05 AM","Jun 16, 2026 1:05 AM","Jun 16, 2026 1:19 AM","Jun 21, 2026 8:05 AM",MEFMHARD,ELECFMSC
WO2026-225704,CM,INPRG,2A2-Ahu_01 Compressor 2 HP alarm,FM-135119,L2,2A2ES0-F01-HVR02,CMAC000001,"Jun 15, 2026 3:13 PM","Jun 15, 2026 3:13 PM","Jun 15, 2026 3:17 PM",,MEFMHARD,HVACFMSC
WO2026-227960,CM,COMP,2C1- Transponder- TR 1077390- Failure alarm on ATS,TSM-369,L2,2C100P,SIG1003801,"Jun 18, 2026 7:09 AM","Jun 18, 2026 7:09 AM","Jun 18, 2026 7:13 AM","Jun 22, 2026 5:50 AM",MESMNS,SIGCOOR1
WO2026-227960,CM,COMP,2C1- Transponder- TR 1077390- Failure alarm on ATS,TSM-369,L2,2C100P,SIG1003801,"Jun 18, 2026 7:09 AM","Jun 18, 2026 7:09 AM","Jun 18, 2026 7:13 AM","Jun 22, 2026 5:50 AM",MESMNS,SIGCOOR1
WO2026-226516,CM,CLOSE,"2C1-Platform level-Minor water leakage coming from pipes overhead, in front of female staff room",MUDASSAR.RASHEED,L2,2C1SS0-B03-CORR02,MEPG1446,"Jun 16, 2026 2:10 PM","Jun 16, 2026 2:10 PM","Jun 16, 2026 2:19 PM","Jun 18, 2026 1:28 PM",MEFMHARD,MECHFMSC
WO2026-225766,CM,COMP,2C1 - Telephone is not working in the TOR1,CHINTHALA.MAHESH,L2,2C1SS0-G00-TOR01,SC101549,"Jun 15, 2026 9:21 PM","Jun 15, 2026 9:21 PM","Jun 15, 2026 9:55 PM","Jun 16, 2026 6:55 AM",MESMNS,COMCOOR1
WO2026-226411,CM,COMP,2C1SS0-P02-PLAT - CAMERA IFDC 20 lost connection,AHMED.ALMASHAMA,L2,2C1SS0-P02-PLAT,SC101463,"Jun 16, 2026 1:03 AM","Jun 16, 2026 1:03 AM","Jun 16, 2026 4:41 AM","Jun 17, 2026 2:18 PM",MESMNS,COMCOOR1
WO2026-227274,CM,INPRG,2C1 Station CBS showing Loss communication in BMS graphic.,FM-135119,L2,2C1SS0-P02-SMR,CJME0100030,"Jun 17, 2026 2:53 PM","Jun 17, 2026 2:53 PM","Jun 17, 2026 2:54 PM",,MEFMHARD,ELECFMSC
WO2026-227275,CM,INPRG,2C1 Station West York Gateway SMR showing All DXU's unit showing off status in BMS,FM-135119,L2,2C1SS0-P02-SMR,CJME0100030,"Jun 17, 2026 2:57 PM","Jun 17, 2026 2:57 PM","Jun 17, 2026 2:58 PM",,MEFMHARD,ELECFMSC
WO2026-227931,CM,CLOSE,2E2 Unable to login L&E workstation,DILIP.TIRUAIPATI,L2,2E2SS0,LEWS00039,"Jun 18, 2026 4:38 AM","Jun 18, 2026 4:38 AM","Jun 18, 2026 4:47 AM","Jun 18, 2026 1:33 PM",MEFMHARD,MECHFMSC
WO2026-226565,CM,CLOSE,MRIICF -2E2 P02-27-STAFF ROOM MALE-chair screw loose  condition,FM-80958,L2,2E2SS0-P02-SFM,FURN-19,"Jun 16, 2026 9:22 PM","Jun 16, 2026 9:22 PM","Jun 16, 2026 9:23 PM","Jun 17, 2026 10:17 AM",MEFMSOFT,MEFMCSA
WO2026-226572,CM,CLOSE,"MRIICF -2E2 BL BO3-37 ,,Sump pump Room,, Door has visible tough stains on surface",FM-80958,L2,2E2SS0-B03-SPR,DOOR-19,"Jun 16, 2026 9:41 PM","Jun 16, 2026 9:41 PM","Jun 16, 2026 9:43 PM","Jun 17, 2026 10:35 AM",MEFMSOFT,MEFMCSA
WO2026-226569,CM,CLOSE,MRIICF -2E2  P02-16-WATER CLOSET FEMALE-door handle spring is broken,FM-80958,L2,2E2SS0-P02-WCF,DOOR-19,"Jun 16, 2026 9:35 PM","Jun 16, 2026 9:35 PM","Jun 16, 2026 9:36 PM","Jun 17, 2026 10:30 AM",MEFMSOFT,MEFMCSA
WO2026-226567,CM,CLOSE,MRIICF - 2E2 P02-26-STAFF ROOM FEMAL-chair screw loose  condition,FM-80958,L2,2E2SS0-P02-SFF,DOOR-19,"Jun 16, 2026 9:28 PM","Jun 16, 2026 9:28 PM","Jun 16, 2026 9:28 PM","Jun 17, 2026 10:21 AM",MEFMSOFT,MEFMCSA
WO2026-228018,CM,CLOSE,2E2 - Multiple FCUs connected to HCU 20 are not working,0000745,L2,2E2SS0-B01-ACY02,CMAC000965,"Jun 18, 2026 1:37 PM","Jun 18, 2026 1:37 PM","Jun 18, 2026 1:50 PM","Jun 20, 2026 6:45 AM",MEFMHARD,HVACFMSC
WO2026-225593,CM,COMP,SCSS-2E2SS0-B03-CORR03-ACWM-5 battery backup not working,TSM-168,L2,2E2SS0-B03-CORR03,SC102468,"Jun 15, 2026 12:33 AM","Jun 15, 2026 12:33 AM","Jun 15, 2026 4:17 AM","Jun 15, 2026 8:42 PM",MESMNS,COMCOOR1
